Question;Correct Answer;Others Answers
"En mathématiques, combien vaut -7%4 ?";3;4;-3;-1.75
Quel est le moteur de jeu de Genshin Impact ?;Unity;Unreal Engine 4;Godot;Shark 3D
En quelle année est sortie la première version de Java ?;1996;1994;1995;1997
Lequel de ces langages informatique n'est pas un langage de programmation ?;XML;Scheme;JavaScript;PHP
Quel est le montant de la CVEC ?;90€;50€;100€;120€
Quelle est la première ville de France pour les étudiants en informatique ?;Lyon;Lille;Bordeaux;Strasbourg
Quelle est l'année du sacre de Napoléon 1er ?;1802;1789;1792;1804
"(4, -3, 5) + (6, 5, -2) + (-1, 4, -6) = ?";"(9, 6, -3)";"(11, 12, 13)";"(-11, -12, 13)";"(-9, -6, 3)"
Quelle est la capitale du Japon ?;Tokyo;Pékin;Kanto;Kyoto
"Quel événement, annulé tous les ans depuis 2020, était le rendez-vous annuel du jeu vidéo ?";E3;Paris Games Weak;Japan Expo;Nintendo Direct
Comment s'appelle le premier président de la Ve République française ?;Charles de Gaulle;Philippe Pétain;Georges Pompidou;Jacques Chirac
"Le citron, c'est";Acide;Simple;Basique;Neutre
Quelle est la licence la plus rentable de tous les temps ?;Pokémon;Minecraft;Microsoft;Apple
Quel est le jeu vidéo le plus vendu de tous les temps ?;Minecraft;Grand Thieft Auto IV;Grand Thieft Auto V;Poogie's Racing
Quelle ville est le chef-lieu de la Bourgogne-Franche-Compté ?;Dijon;Mâcon;Lyon;Besançon
Quel empereur romain a été retenu par l'Histoire comme le fou ayant brûlé Rome ?;Lucius Domitius Claudius Nero dit Néron;Caius Julius Caesar dit Jules César;Caius Julius Caesar Augustus Germanicus dit Caligula;Lucius Annaeus Seneca dit Sénèque
Comment appelle-t-on le petit du sanglier ?;Marcassin;Marcacrin;Porcelet;Sanglion
Quel est le taux d'alcool dans le sang maximal autorisé au volant ?;0.5g;0.25g;1g;0g
Quel est le PH de l'eau ?;7;0;1;10
"En français, quel mot permet de dire 'Dans cette liste, c'est quel nombre ?'";Quantième;Combientième;Dernier;Énième
"Sur une portion d'autoroute dont la vitesse est limitée à 130km/h, à combien est fixée la limite si le temps est pluvieux ?";110 km/h;90 km/h;100 km/h;120 km/h
"Comment s'appelle la substance extrêmement nourritive sécrétée par la reine des abeilles; qui lui permet de nourrir toute sa colonie ?";La gelée royale;L'agar-agar;Le miel;Le carton-pâte
"Si je verse de l'huile et de l'eau dans un même récipient, que se passe-t-il ?";L'eau passe en-dessous de l'huile.;L'huile passe en-dessous de l'eau.;L'eau et l'huile se mélangent.;L'eau entre en ébullition au bout de quelques minutes.
"Quelle substance, nocive pour la santé, a longtemps été utilisée dans l'isolation des bâtiments ?";L'amiante;L'avoine;L'amidon;La laine de verre
