Question;Correct Answer;Others Answers
"En JavaScript, combien vaut -5%2 ?";-1;10;1;-2.5
Quelle est la différence entre un master et un mastère ?;"Le master est un diplôme bac +5, alors que le mastère est un diplôme bac +7.";"C'est la même chose, les deux orthographes existent.";"Le master est un diplôme bac +5, alors que le mastère est un label délivré par les grandes écoles.";Le master permet de prétendre au titre d'ingénieur.
Lequel de ces frameworks n'est pas un framework JavaScript ?;Tailwind;Vue;React;Angular
En quelle année a été publiée la première version de PHP ?;1981;1980;1983;1985
En quelle année a-t-on commencé à développer des systèmes automatisés ?;1950;1940;1960;1970
Quel jour Louis XVI a-t-il été guillotiné ?;21 janvier 1793;14 juillet 1789;3 mars 1793;5 septembre 1793
"Lorsque je m'excuse, je dis :";Au temps pour moi.;Autant sur moi.;Autant pour moi.;Trop hautain pour moi.
Quelle est la capitale de l'Australie ?;Canberra;Sidney;Melbourne;Perth
"D'après la loi d'Ohm, comment calcule-t-on la tension aux bornes d'un dipôle ?";On multiplie l'intensité du courant par la résistance.;On Divise l'intensité du courant par la résistance.;On divise la résistance par l'intensité du courant.;On fait la somme de l'inverse de l'intensité du courant et de la résistance.
"J'ai du retard dans le paiement de mon loyer; que peut-il se passer ?";Mon bailleur va m'attaquer en justice et me faire expulser.;Je vais me faire exclure de mon logement dans le mois.;Mon garant va me verser de l'argent.;"Rien, mon bailleur s'en moque."
"Pour résoudre un problème, on dit :";Palier un problème;Palier à un problème;Pallier à un problème;Pallier un problème
Comment s'appelle le laboratoire qui accueille le plus grand accélérateur de particules d'Europe ?;CERN;CNRS;ESA;NASA
Quel est le pays qui exporte le plus de semi-conducteurs ?;Chine;Japon;Corée du Sud;Allemagne
Comment s'appelait le premier président des États-Unis d'Amérique ?;Georges Washington;Barack Obama;Abraham Lincoln;George W. Bush
"Sur Unity, de quoi deux objets ont-ils au minimum besoin pour se percuter ?";L'un doit avoir un rigidbody et un collider et l'autre un collider.;Un rigidbody et un collider chacun.;L'un doit avoir un rigidbody et l'autre un collider.;Rien du tout.
"Lorsque je jette mes déchets, je mets le carton dans :";J'ai plus de 28 ans.;Je fais mes études en Pologne.;J'ai un bac professionnel.;Je suis grec.
"En TER dans les régions Bourgogne-Franche-Compté et Auvergne-Rhône-Alpes, j'ai en toutes circonstances le droit :";De m'asseoir en première classe.;D'écouter de la musique sans casque / écouteurs.;De laisser ma bouteille vide sur place.;D'utiliser le marteau brise-vitre.
"Le langage principalement utilisé avec Unity est le C#, mais un autre langage est compatible : lequel ?";JavaScript;Java;Golang;PHP
Quel article de la Constitution française permet de limiter la durée des débats au Sénat ?;Article 47 alinéa 1;Article 49 aliéna 3;Article 44 alinéa 5;Article 42 alinéa 9
